"","Lat","Long","TOT_POP","BU_TOT","FID","MeanTemp","Precip_mm","MeanFCPerc","StdDevFCPerc","FLOSS_ha","FGAIN_ha","Forest","Agric","ShrGra","Urb","Water","MeanNDVI","SdNDVI"
"123",6.91667,2.02361,675,3,225,27.8,1023,21.88039527,5.512826491,30.02752144,2.836244913,0.1,0.88,0.03,0,0,0.3394389884375,0.179375056473798
"124",6.918611,2.0380557,263,2,3,27.7,1028,20.64308877,5.196863245,27.01038608,2.817816151,0.06,0.92,0.02,0,0,0.2833227379375,0.172234537683052
"125",6.9275,2.06333,1056,4,256,27.7,1035,21.04763889,4.61061215,21.23040571,2.575475275,0.08,0.91,0.01,0,0,0.334678622875,0.178414479382613
"126",6.90972,2.08194,734,2,301,27.6,1037,23.00852816,4.854064788,27.99487246,4.959747802,0.09,0.9,0.02,0,0,0.3545577805,0.181937660589629
"127",6.867,2.10833,1062,1,230,27.6,1036,28.15923056,8.855472309,122.8159201,4.900685467,0.16,0.81,0.03,0,0,0.3479106785625,0.197651157819459
"128",6.82417,2.13417,487,2,210,27.1,1064,21.30299618,5.996674122,54.91208218,11.2194547,0,1,0,0,0,0.304591761,0.186086907219647
"129",6.8141665,2.1080556,4890,0,260,27.3,1038,22.86447666,6.084801596,67.21828967,12.3223586,0,1,0,0,0,0.381244850625,0.174996432409757
"130",6.7613888,2.1080556,2118,1,65,26.9,1059,22.1027066,6.165348724,59.814557,27.5489646,0,1,0,0,0,0.367663149625,0.185802958808983
"131",6.8166666,2.1027777,537,0,248,27.5,1029,23.24188453,6.19710445,47.47753543,17.35502626,0.01,0.99,0,0,0,0.3944033705,0.19147335935068
"132",6.86389,2,3294,12,12,27.7,1013,18.3380447,3.699217731,13.23562883,0.6214122314,0.1,0.43,0.47,0,0,0.2778000615,0.153944287174377
"133",6.84056,2.03611,820,4,30,27.7,1009,21.00774283,5.338582166,28.43084116,1.331656104,0.23,0.67,0.09,0,0,0.2871575466875,0.147585546519464
"134",6.83889,2.03806,1378,2,262,27.7,1009,21.25810222,5.49146929,29.41231714,1.360556892,0.25,0.69,0.07,0,0,0.3008497715625,0.172599950334127
"135",6.87222,2.04528,625,3,7,27.7,1021,20.36749983,5.039459562,31.79489022,3.822762084,0.14,0.81,0.05,0,0,0.3744186335,0.208731062583209
"136",6.86417,2.03722,1616,4,79,27.8,1014,20.72737372,5.459217874,38.42755194,1.650143415,0.18,0.72,0.1,0,0,0.3568036025625,0.197936184307319
"137",6.88139,2.00833,1245,8,278,27.7,1015,20.05733345,4.178206217,24.08652921,1.03600518,0.1,0.59,0.31,0,0,0.2678509625,0.17412984474364
"138",6.88611,1.98333,1529,5,36,27.7,1015,18.73963278,4.678962561,34.32709408,1.153995081,0.09,0.5,0.4,0,0,0.24829829,0.122837830477758
"139",6.88722,1.965,2349,1,246,27.6,1020,17.28799654,5.482360785,42.40208452,0.5326152344,0.07,0.55,0.38,0,0,0.309751131125,0.185304931951428
"140",6.90444,1.94694,957,2,280,27.6,1025,17.03233765,7.371290773,73.9284507,3.481376397,0.13,0.72,0.15,0,0,0.309222141625,0.157786037042221
"141",6.90528,1.94722,2134,2,243,27.6,1025,17.00582853,7.379977575,74.95135646,3.148237495,0.13,0.73,0.14,0,0,0.269190277,0.152124814025166
"142",6.8575,1.97667,1009,1,57,27.5,1018,19.06785685,3.447133857,11.92607542,0.9765327881,0.03,0.32,0.65,0,0,0.2926780805625,0.130969971258226
"143",6.77806,1.84111,8587,1,209,27.5,1004,20.31282101,6.319933422,78.06638563,11.3426405,0.07,0.9,0.03,0,0,0.305334174125,0.15136948589477
"144",6.79389,1.85972,5787,0,6,27.5,1004,22.14336296,7.366539823,60.38728318,9.934280967,0.18,0.76,0.06,0,0,0.3585496576875,0.208296212576211
"145",6.81611,1.85167,1491,3,214,27.4,1011,21.96890083,8.698461958,71.499181,12.21999477,0.06,0.9,0.04,0,0,0.31756419125,0.155570662124117
"146",6.8372221,1.8469445,442,1,242,27.3,1025,20.74277818,6.629317747,68.53109999,8.005016537,0.01,0.98,0.01,0,0,0.3763428465625,0.207078290147607
"147",6.83806,1.8925,1432,1,139,27.5,1014,18.91328625,5.736017715,71.43759378,2.752125659,0.14,0.74,0.12,0,0,0.2956125894375,0.110274444807771
"148",6.9019446,1.9077778,1185,3,119,27.3,1040,19.09984164,7.953021547,77.43305447,4.793415106,0.07,0.8,0.12,0,0,0.27329689075,0.136999393145244
"149",6.9055557,1.9097222,12492,0,208,27.4,1035,18.39631119,7.736006781,70.41628147,4.402130199,0.09,0.78,0.13,0,0,0.306167523,0.158290878697354
"150",6.9058332,1.8605555,892,1,88,27.1,1052,15.54764749,5.56336058,34.61233057,8.077799426,0.02,0.51,0.47,0,0,0.30086440925,0.178401868555399
"151",6.895,1.85861,1108,2,263,27,1054,15.34387273,4.764321234,24.88951096,8.970818752,0.03,0.61,0.36,0,0,0.3130829139375,0.171883486004574
"152",6.8888888,1.8402778,1557,0,274,26.9,1063,14.1839274,4.827418544,24.35678034,0.9876111456,0.02,0.5,0.48,0,0,0.2989114569375,0.152198314908222
"153",6.93667,1.84417,1345,1,217,26.8,1075,12.86927965,4.183924714,13.17670243,0.1775208923,0.01,0.18,0.81,0,0,0.2548169446875,0.120123831184527
"154",6.9347224,1.8477777,1566,2,285,26.8,1075,12.96045506,4.249012475,13.69820584,0.1775208923,0.01,0.21,0.78,0,0,0.25551291825,0.149816284022698
"155",6.91944,1.8425,954,1,109,26.8,1073,13.86391464,4.835664662,15.32539128,0.07483784359,0.01,0.27,0.72,0,0,0.233226127125,0.12231605063835
"156",6.98472,1.8875,1222,1,252,27.1,1069,12.36025981,3.332622924,6.62996444,0,0.01,0.05,0.95,0,0,0.2657065331875,0.1561267534965
"157",6.97083,1.89361,873,2,115,27.2,1064,12.18963264,4.114839423,13.06776761,0.08875601807,0.01,0.06,0.93,0,0,0.219481156625,0.131640827753063
"158",6.95,1.87222,9868,2,255,27,1072,11.13557651,4.661370338,13.4480645,0,0.02,0.14,0.84,0,0,0.2703758595625,0.170580049789912
"159",6.94389,1.97472,1040,13,249,27.8,1023,21.04242192,7.261943013,55.08165733,2.130214777,0.06,0.83,0.11,0,0,0.293269834,0.176932466547432
"160",6.94556,1.95833,2008,1,145,27.5,1037,17.73933935,6.883818575,66.00335657,2.184153064,0.09,0.71,0.2,0,0,0.30288807025,0.161854616681844
"161",6.97861,1.92528,1555,1,288,27.6,1043,13.63548101,5.200520317,16.95948609,0.3550131775,0.02,0.21,0.76,0,0,0.2741698525625,0.143100790065225
"162",6.97056,1.91167,1905,4,78,27.4,1050,12.45544793,4.456005785,13.99117667,0.4437770508,0.03,0.13,0.85,0,0,0.2767391744375,0.154042290024738
"163",7.0319443,1.9777777,3780,0,196,27.5,1061,12.51925455,4.125864369,7.36295106,0,0.01,0.19,0.8,0,0,0.361365605125,0.163784402694156
"164",7.075,1.96806,3086,0,16,27.3,1079,11.9334079,3.089710305,3.310657425,0.08873585815,0.03,0.01,0.96,0,0,0.2011356214375,0.065873333366487
"165",7.03056,1.9,750,0,31,27.4,1058,15.06466207,4.101611095,17.80631436,1.907806853,0.02,0.51,0.47,0,0,0.28167307475,0.189443916359757
